"game_date","day_of_week","away_team","away_score","home_team","home_score","status","result","winner","is_conference","location","boxscore_url","away_runs","home_runs","away_starter","home_starter","away_starter_ip","home_starter_ip"
2026-02-21,"Saturday","Macalester",2,"Loras College",10,"Final","Final","Loras College",FALSE,"Topeka, KS // Bettis Sports Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2It0DhtCTaIwdejXxEBYlUGZd1sTGKHcilbQqIxG4EXxo08Xv2XDQgtCZHPWaUhk4&path=baseball",10,2,"V. Costantin (W, 1-0)","N. Strezo (L, 0-1)","5","5.1"
2026-02-21,"Saturday","Saint Mary's",11,"Luther College",8,"Final","Final","Saint Mary's",FALSE,"Tucson, AZ // Kino Sports Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uC87mGJeePUjJQCR4m%2beWK%2fv6VleGWydGyOjJ7C3PVNIkfYyvITV%2bRA5tO5wIfboZJ&path=baseball",8,11,"Brody Von Berg","Drew Rothenberger","2","1"
2026-02-21,"Saturday","St. Scholastica",NA,"University of Wisconsin-Stout",NA,"Postponed","Postponed",NA,FALSE,"Jacksonville, IL // Future Champions Sports Complex",NA,NA,NA,NA,NA,NA,NA
2026-02-22,"Sunday","Saint Mary's",6,"Luther College",5,"Final","Final","Saint Mary's",FALSE,"Tucson, AZ // Kino Sports Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCDHyy0XQhSILe59ICaIe084eAiSqpm%2bgJMn9hvE%2blBBskquLZa7EoW4wcY3JqZPW6&path=baseball",6,5,"Eric Stromberg","Charles Running","4","4"
2026-02-26,"Thursday","Bethel",20,"Crown College",3,"Final","Final
                                                                                        
                                            
                                            
                                                (7 Innings)","Bethel",FALSE,"Minneapolis, MN // U.S. Bank Stadium
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhjzahKugRChgIwJOnQuU36Zc5dowlAKrNQcQu3%2bqXx8UD8JIsG9VmqkYvHVFIOXaUp2AI9fHEQeodW8dyFbIAGe%2f%2bsMRW7vXmWYfgNCFUi7D&path=baseball",3,20,"B. Torbeck (L, 0-1)","D. Girtz (W, 1-0)","3","4"
2026-02-26,"Thursday","Bethel",22,"Crown College",1,"Final","Final","Bethel",FALSE,"Minneapolis, MN // U.S. Bank Stadium
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhjzahKugRChgIwJOnQuU36Zc5dowlAKrNQcQu3%2bqXx8UWzz%2bmqzbrAxPpOtYRr35oowbhMcXukkhaT8yz%2bsjkImIzszNM0asM9Fq34ikjfyZ&path=baseball",22,1,"M. Anderson (W, 1-0)","Z. Luinstra (L, 0-1)","4","3"
2026-02-27,"Friday","Carleton",4,"University of Wisconsin-Superior",17,"Final","Final","University of Wisconsin-Superior",FALSE,"Marion, IA // Prospect Meadows
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhiHCgSvVo6vyVvsDuDSb0a%2bJ%2fFIk6s5oCHx1cXIv%2bDfqjZotIg8zZG001kLuZwpfUlxaJGQJoqoZwYVkjxD3vwSylUN%2fTQJ3y8CjSXf%2bmvIF&path=baseball",4,17,"J. Corcoran (L, 0-1)","K. Corlett (W, 1-0)","4","4"
2026-02-27,"Friday","Allegheny College",3,"St. Olaf",14,"Final","Final
                                                                                        
                                            
                                            
                                                (7 inn.)","St. Olaf",FALSE,"Davenport, FL // NERP #2","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhLHwJ75qoHkwtKhjgIJyBmIxdqZACSC%2fCyduK7%2ff0q%2fN%2f9wXUlLXMuEjg45PYvROIy&path=baseball",3,14,"Parker McRay (L, 1-1)","Kevin Steel","3.1","3"
2026-02-27,"Friday","Martin Luther College",5,"Hamline",6,"Final","Final","Hamline",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiS5TrIwPnw4HyI7hV87JqNFZD5NkUpCvhui6w2jYdk9%2brPrt7VryA5KV8DAKowesG&path=baseball",5,6,"C. Heckendor (L, )","H. Christens","6.1","6"
2026-02-27,"Friday","Saint John's",8,"Buena Vista University",13,"Final","Final","Buena Vista University",FALSE,"Shawnee, KS
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPHagrYYNu%2bk3eVWQRh5K35AjONin5olwY4wMNOh86t8ekarPMZ2yS6mfxgb2RiR3OIkcKnVSe0vMCb8tLG6l0m8%2fstJu0FZHRhp2WO3mX9%2fs%3d&path=baseball",8,13,"Carter Theisen (L, 0-1)","McDaniel (W, 1-0)","4","5"
2026-02-27,"Friday","Carleton",7,"University of Wisconsin-Superior",10,"Final","Final","University of Wisconsin-Superior",FALSE,"Marion, IA // Prospect Meadows
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhiHCgSvVo6vyVvsDuDSb0a%2bJ%2fFIk6s5oCHx1cXIv%2bDfqJlrzGCbPwPgZHA0h7qwO7AS0e2Dw2VMRLzfuWBO3C28Ro1Gttzjop7cL6lvozKAV&path=baseball",7,10,"W. Schnepf","Z. Romans","5","4"
2026-02-27,"Friday","Saint John's",11,"Buena Vista University",1,"Final","Final","Saint John's",FALSE,"Shawnee, KS
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPHagrYYNu%2bk3eVWQRh5K35AjONin5olwY4wMNOh86t8ekarPMZ2yS6mfxgb2RiR3OppaUUJOVYBWdMoE41RGC%2bR5HAojF5dkn%2fbPurkXXM3s%3d&path=baseball",1,11,"Johnson (L, 0-1)","Hunter Hoen (W, 1-0)","4.2","7"
2026-02-27,"Friday","Hamline",5,"Martin Luther College",7,"Final","Final","Martin Luther College",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiiIgIDrep8R1ktKECFvEev3PPVF4LTMteEUOvu4nGexqW%2fq0KHXbvOond0V%2fOZmVw&path=baseball",5,7,"T. Yotter (L, 1-1)","A. Berg (W, 1-1)","2","4"
2026-02-27,"Friday","Macalester",7,"University of Mary Hardin-Baylor",4,"Final","Final","Macalester",FALSE,"Belton, TX // Red Murff Field","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP27wxtnKmp%2bboCR7Ohj%2b9tI2qAYtvxRmhba81RtLHcKwYjNPWWbpDPTl42m1Wymzob&path=baseball",7,4,"B. King","A. Hill","4.1","5"
2026-02-28,"Saturday","Massachusetts Institute of Technology",1,"St. Olaf",3,"Final","Final","St. Olaf",FALSE,"Winter Haven, FL // Chain of Lakes #3
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhLeNTJcW2Mbgo4OYk0TPTnxOyKVgTmSQ25oTBvzDCYMdv1kJdqxV9KYJgGo%2f%2bVeikC&path=baseball",1,3,"Chase Rubin","Sam Hruska","4","2"
2026-02-28,"Saturday","Hamline",8,"Martin Luther College",5,"Final","Final","Hamline",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiMnso51EF9GEWz%2bieiV33XHDK1m%2bnXoiw6LNCpqeXn%2bNfVl772YZdbg9WepKGXog4&path=baseball",8,5,"B. Casey (W, )","J. Anderson (L, )","6","2"
2026-02-28,"Saturday","Macalester",14,"University of Mary Hardin-Baylor",10,"Final","Final","Macalester",FALSE,"Belton, TX // Red Murff Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP27wxtnKmp%2bboCR7Ohj%2b9tI4W5pPOTAo0Xc%2fDdKGK5KDMqmp%2bZbL4AlUJkX9e2bY9a&path=baseball",14,10,"C. Chou-Gree","C. Kammlah","3","5"
2026-02-28,"Saturday","Massachusetts Institute of Technology",0,"St. Olaf",4,"Final","Final","St. Olaf",FALSE,"Winter Haven, FL // Chain of Lakes #3
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhLHfWIze0%2fd2%2fdel07myoLfbXIVUcJQ7Y0xyPQkrrwp3svTHzjKLNIPKUNimtiSgsR&path=baseball",4,0,"Alex Oehlke (W, 1-0)","Jonathan Freedman (L, 0-1)","5","5"
2026-02-28,"Saturday","Saint John's",18,"Buena Vista University",0,"Final","Final","Saint John's",FALSE,"Shawnee, KS","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPHagrYYNu%2bk3eVWQRh5K35AjONin5olwY4wMNOh86t8ekarPMZ2yS6mfxgb2RiR3OI3CascUOnv8%2f49fjMxu7MCCOLC%2ffymeHjubD54wPeBs%3d&path=baseball",18,0,"Matthew Magnuson","Brachtel (L, 0-1)","4","4"
2026-02-28,"Saturday","Hamline",10,"Martin Luther College",11,"Final","Final","Martin Luther College",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiHuouEUJWyOEFfmpCcIY%2bubxHipbN56bJ1JmICA%2foW0Ht7d5Q6nA822RXeekSLEiu&path=baseball",10,11,"S. Johnson (L, 1-1)","O. Proctor (W, 1-0)","0.1","5"
2026-02-28,"Saturday","Macalester",7,"University of Mary Hardin-Baylor",17,"Final","Final","University of Mary Hardin-Baylor",FALSE,"Belton, TX // Red Murff Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2DDR%2bIUhNRb5mtzksNJWrrWFZNsEfkhI98StI0UT9DW4%2bUjv2z90fJ%2frqMOM%2b2wT9&path=baseball",7,17,"N. Strezo (L, 0-1)","R. Davis","1","2"
2026-02-28,"Saturday","Concordia",3,"University of Dubuque",0,"Final","Final","Concordia",FALSE,"Davenport, FL // NERP","https://miacathletics.com/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjRG6pFkOaHhJ9o8S3vINmQOIe5jlXcgY0S4nV0V6%2bRzpslQrdDOnX1zUk%2fI1jid3%2fDm8bjNbnxbUpE907TWeiUZoBMjKYK9%2bKXgJqc4EcEMuJcAQD3qRXqEexdEwTNOpMmcYi5n0nxnq%2f8hUcdKpS4YrxoGyi2uh99XaOD2qL0Jm&path=baseball",0,3,"S. Buskohl (L, 0-1)","B. Wolfgram (W, 1-0)","5","6"
2026-03-01,"Sunday","Grove City College",11,"St. Olaf",7,"Final","Final","Grove City College",FALSE,"Davenport, FL // NERP #2","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhL33mUXIoHbyjU5BK9WUcNDFFjLmey2m3mCnaipuRvdHs%3d&path=baseball",7,11,"Ian Enyeart","Kenny Lavrich","3","6"
2026-03-01,"Sunday","Concordia",5,"Marian University",6,"Final","Final","Marian University",FALSE,"Winter Haven, FL // Chain of Lakes
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjRG6pFkOaHhJ9o8S3vINmQOIe5jlXcgY0S4nV0V6%2bRzpslQrdDOnX1zUk%2fI1jid3%2fDm8bjNbnxbUpE907TWeiUbq%2f5tOWw61pff1dBCIpQ1iQV7kzLpNBFOi%2bEGu7xguhF%2f9px6tT%2fmh1XXrVtbh9QvBfmk20pZdoa6T%2fTPChT93&path=baseball",5,6,"D. Inniger","Santos, Jr","5","5"
2026-03-01,"Sunday","Saint Mary's",11,"Trine University",8,"Final","Final","Saint Mary's",FALSE,"Auburndale, FL // Lake Myrtle #7","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCcDCciOnZC8njwcRFlDot7qtO7FiFNJ3yHcpGT8jHAuSbe4%2bkKYMSUNmjHNamfYdt&path=baseball",11,8,"C. Tulley (W, 1-1)","W. Gimbel","4","6"
2026-03-01,"Sunday","Saint Mary's",3,"Trine University",5,"Final","Final","Trine University",FALSE,"Auburndale, FL // Lake Myrtle #7","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCn%2fGer1DkS3CSNxScfVIx0ypxr1xqqIdbCgKDu54vCw2PxHB7Bp0QWR3kHxjXA4iT&path=baseball",5,3,"O. Mitchell (W, 1-1)","D. Rothenber (L, 0-1)","4.1","2"
2026-03-01,"Sunday","Concordia",6,"Marian University",3,"Final","Final","Concordia",FALSE,"Winter Haven, FL // Chain of Lakes
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjRG6pFkOaHhJ9o8S3vINmQOIe5jlXcgY0S4nV0V6%2bRzpslQrdDOnX1zUk%2fI1jid3%2fDm8bjNbnxbUpE907TWeiUZoBMjKYK9%2bKXgJqc4EcEMuBCwZ%2f2XILkD%2fegv4pWfIKh2k4xJaJFtVfkV%2flL1xJwUgL04h0JKjyRf3WcHf7lF9&path=baseball",3,6,"B. Griesbach (L, 1-1)","G. Anderson (W, 1-0)","4","5.1"
2026-03-01,"Sunday","St. Scholastica",9,"Crown College",0,"Final","Final
                                                                                        
                                            
                                            
                                                (7 Innings)","St. Scholastica",FALSE,"Minneapolis, MN // U.S. Bank Stadium
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP70MuHmFeDr%2fHoyAaAHnUYRiua6jdcXRvInqE90T2dVJS1XD%2fazNIa1pzBD6J0fpVGPTT7a2yLa3OEbgpvtOtb8q5NBxq%2f7Sl9mFFxZejQrg%3d&path=baseball",0,9,"J. Phillipp (L, 0-1)","Z. Hlinsky (W, 1-1)","3","5"
2026-03-01,"Sunday","St. Scholastica",18,"Crown College",4,"Final","Final
                                                                                        
                                            
                                            
                                                (7 Innings)","St. Scholastica",FALSE,"Minneapolis, MN // U.S. Bank Stadium
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP70MuHmFeDr%2fHoyAaAHnUYRiua6jdcXRvInqE90T2dVJS1XD%2fazNIa1pzBD6J0fpVGIf1TWgGpf%2bJ3qq9YWDQ0J%2fWtTl9RxknF3RVCFhFoYwyBUsH5GIJ6aT4uYq5QfWA&path=baseball",18,4,"J. Stoeckle (W, 2-0)","M. Yarish (L, 0-1)","4","0.1"
2026-03-02,"Monday","Concordia",4,"Saint Vincent College",2,"Final","Final","Concordia",FALSE,"Davenport, FL // NERP","https://miacathletics.com/boxscore.aspx?id=JcLFfL9RUu0H5ystoOMbjRG6pFkOaHhJ9o8S3vINmQOIe5jlXcgY0S4nV0V6%2bRzpslQrdDOnX1zUk%2fI1jid3%2fDm8bjNbnxbUpE907TWeiUZoBMjKYK9%2bKXgJqc4EcEMu71xuOQcbMSKsLnzuwf7fyJyyV5MVyQSJS2gOWXLAnD4%3d&path=baseball",4,2,"B. Trutwin","J. Forgey","6","7.1"
2026-03-02,"Monday","Saint Mary's",14,"Wartburg College",3,"Final","Final
                                                                                        
                                            
                                            
                                                (8)","Saint Mary's",FALSE,"Auburndale, FL // Lake Myrtle #6","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uClUzb608csivlqUdFFZNHVd4JTxxJgO1katWsyfguzyr5qrQy8JfXyyWB33O5Fl%2b%2f&path=baseball",14,3,"Eric Stomberg (W, 1-0)","Nicholas Nin (L, 0-2)","6","3.2"
2026-03-02,"Monday","Gustavus",7,"Concordia University (Wis.)",6,"Final","Final","Gustavus",FALSE,"Tuscon, AZ // Kino Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPYnsJRwq%2bTPgevIU0rsFMATbPwc%2f5el%2b9T0XS8E99rGUUvgfV%2b7NExaTp9am7w9Wuq4l5QBQs14IjtxwlBgT90h5lkAwSz10iWv8E6B87CZOYClqmMrsgjkAUuDCjaU60&path=baseball",6,7,"Jack Stuck (L, 0-1)","Oliver Giel","4","3.2"
